Transaction_ID,Customer_ID,Product_ID,Quantity,Purchase_Date
1001,C108,P004,2,2026-01-01
1002,C142,P009,4,2026-01-01
1003,C111,P002,,2026-01-01
1004,C125,P007,1,2026-01-02
1005,C104,P001,3,2026-01-02
1006,C133,P005,1,2026-01-02
1007,C119,P003,2,2026-01-03
1008,C149,P010,1,2026-01-03
1009,C122,P006,5,2026-01-03
1010,C107,P008,,2026-01-04
1011,C115,P004,1,2026-01-04
1012,C138,P002,2,2026-01-04
1013,C103,P007,1,2026-01-05
1014,C129,P001,4,2026-01-05
1015,C144,P009,2,2026-01-05
1016,C112,P005,,2026-01-06
1017,C106,P003,1,2026-01-06
1018,C150,P006,3,2026-01-06
1019,C121,P008,2,2026-01-07
1020,C134,P002,1,2026-01-07
1021,C110,P004,4,2026-01-07
1022,C141,P010,1,2026-01-08
1023,C102,P001,2,2026-01-08
1024,C128,P007,,2026-01-08
1025,C135,P005,3,2026-01-09
1026,C117,P003,1,2026-01-09
1027,C146,P009,5,2026-01-09
1028,C105,P006,2,2026-01-10
1029,C131,P002,1,2026-01-10
1030,C124,P008,3,2026-01-10
1031,C116,P004,,2026-01-11
1032,C139,P001,2,2026-01-11
1033,C143,P010,1,2026-01-11
1034,C101,P007,4,2026-01-12
1035,C126,P005,2,2026-01-12
1036,C132,P003,1,2026-01-12
1037,C118,P009,3,2026-01-13
1038,C147,P006,,2026-01-13
1039,C109,P002,2,2026-01-13
1040,C123,P008,1,2026-01-14
1041,C137,P004,5,2026-01-14
1042,C114,P001,1,2026-01-14
1043,C145,P010,2,2026-01-15
1044,C127,P007,3,2026-01-15
1045,C106,P005,1,2026-01-15
1046,C136,P003,4,2026-01-16
1047,C120,P009,,2026-01-16
1048,C148,P006,2,2026-01-16
1049,C113,P002,1,2026-01-17
1050,C130,P008,3,2026-01-17
1051,C108,P005,2,2026-01-17
1052,C142,P001,1,2026-01-18
1053,C111,P004,4,2026-01-18
1054,C125,P010,,2026-01-18
1055,C104,P007,2,2026-01-19
1056,C133,P003,1,2026-01-19
1057,C119,P009,3,2026-01-19
1058,C149,P006,5,2026-01-20
1059,C122,P002,1,2026-01-20
1060,C107,P008,2,2026-01-20
1061,C115,P005,3,2026-01-21
1062,C138,P001,,2026-01-21
1063,C103,P004,1,2026-01-21
1064,C129,P010,2,2026-01-22
1065,C144,P007,4,2026-01-22
1066,C112,P003,1,2026-01-22
1067,C106,P009,2,2026-01-23
1068,C150,P006,1,2026-01-23
1069,C121,P002,,2026-01-23
1070,C134,P008,4,2026-01-24
1071,C110,P005,1,2026-01-24
1072,C141,P001,3,2026-01-24
1073,C102,P004,2,2026-01-25
1074,C128,P010,1,2026-01-25
1075,C135,P007,5,2026-01-25
1076,C117,P003,,2026-01-26
1077,C146,P009,2,2026-01-26
1078,C105,P006,1,2026-01-26
1079,C131,P002,3,2026-01-27
1080,C124,P008,1,2026-01-27
1081,C116,P005,4,2026-01-27
1082,C139,P001,2,2026-01-28
1083,C143,P004,,2026-01-28
1084,C101,P010,1,2026-01-28
1085,C126,P007,3,2026-01-29
1086,C132,P003,1,2026-01-29
1087,C118,P009,5,2026-01-29
1088,C147,P006,2,2026-01-30
1089,C109,P002,1,2026-01-30
1090,C123,P008,,2026-01-30
1091,C137,P005,3,2026-01-31
1092,C114,P001,2,2026-01-31
1093,C145,P004,1,2026-01-31
1094,C127,P010,4,2026-01-31
1095,C106,P007,1,2026-02-01
1096,C136,P003,2,2026-02-01
1097,C120,P009,3,2026-02-01
1098,C148,P006,,2026-02-01
1099,C113,P002,1,2026-02-02
1100,C130,P008,5,2026-02-02
